session,sess_date,n,flt,model,time_stamp,run,note,rad,bias,disp,pa,dur,peak_price,peak_round
n9slx1c3,2024-09-30,10,40.0,,,,,0.14434523809523808,2.5454545454545454,84.0,5.0,3,19.0,9
91yoqr0i,2024-09-30,10,40.0,,,,,0.3314732142857143,5.151515151515151,170.0,8.0,7,22.0,17
tnrp4x8n,2024-09-30,10,40.0,,,,,0.5410714285714285,8.090909090909092,267.0,11.5,9,26.5,23
8t7646lt,2024-10-01,10,40.0,,,,,0.5714285714285714,7.151515151515151,236.0,11.0,11,25.5,23
dydjaml1,2024-10-12,20,80.0,,,,,0.5569908814589666,8.893939393939394,293.5,16.0,13,31.0,20
wjsiy4f2,2024-10-13,20,80.0,,,,,0.06318681318681318,0.5,20.5,2.0,1,15.0,8
ca3g7jh7,2024-10-13,20,80.0,,,,,0.008403361344537815,0.045454545454545456,5.5,1.5,1,14.5,1
n4tf4zjp,2024-10-13,20,80.0,,,,,0.05742296918767507,0.7424242424242424,24.5,1.0,1,15.0,1
q6j65aev,2024-10-24,20,80.0,,,,,0.024553571428571425,0.3484848484848485,13.5,1.5,1,15.0,4
eofp88wq,2024-11-11,5,20.0,,,,,0.0625,-1.0303030303030303,34.0,2.5,2,14.0,-2
6xlh0ljt,2024-11-14,20,80.0,,,,,0.04945054945054945,0.5909090909090909,20.5,1.5,1,15.0,-1
f4sjyk8e,2024-11-18,20,80.0,,,,,0.06373626373626373,0.8181818181818182,27.0,1.0,1,15.0,-1
gkbl9ud8,2024-11-19,20,80.0,,,,,,-0.8484848484848485,28.0,2.0,2,14.0,-2
mrjdikm4,2024-11-21,20,80.0,,,,,2.357142857142857,27.0,891.0,54.0,2,70.0,30
ne4pwggz,2025-01-06,20,80.0, gpt-3.5 ,2025-01-07 10:56:18.560119 , run-2 , Experiment 2/3 w/ 20 subjects and 3.5 using standard profit maximizing prompt + fixed auto timeout take 2 ,0.28174603174603174,3.8636363636363638,127.5,5.0,2,20.5,29
hrei2bal,2025-01-06,20,80.0, gpt-3.5 ,2025-01-06 23:49:24.064839 , run-1 , Experiment 1/3 w/ 20 subjects and 3.5 using standard profit maximizing prompt + fixed auto timeout take 2 ,0.3806122448979592,5.242424242424242,173.0,8.0,2,23.0,30
iej4b858,2025-01-07,20,80.0, gemini-1.5-pro ,2025-01-10 01:10:52.342729 , run-6 , Experiment 2/3 w/ 20 subjects and gemini-1.5-pro using standard profit maximizing prompt ,0.21085164835164835,-1.0757575757575757,42.5,8.0,2,15.0,0
u36f2qv3,2025-01-07,20,80.0, gemini-1.5-pro ,2025-01-10 02:56:00.858776 , run-7 , Experiment 3/3 w/ 20 subjects and gemini-1.5-pro using standard profit maximizing prompt ,0.11478696741854637,-0.4696969696969697,43.5,5.0,1,16.0,-1
1vpzr064,2025-01-09,20,80.0, gemini-1.5-pro ,2025-01-09 23:25:43.977014 , run-5 , Experiment 1/3 w/ 20 subjects and gemini-1.5-pro using standard profit maximizing prompt ,0.13509953161592503,-0.9848484848484849,42.5,5.0,2,15.0,-1
rh51vc2x,2025-01-10,20,80.0, gpt-4o ,2025-01-10 09:43:55.171454 , run-8 , Experiment 1/3 w/ 20 subjects and gpt-4o using standard profit maximizing prompt ,0.046723952738990326,0.7272727272727273,24.0,1.5,2,15.5,2
o053dd6l,2025-01-11,20,80.0, gpt-4o ,2025-01-11 00:15:06.838896 , run-9 , Experiment 2/3 w/ 20 subjects and gpt-4o using standard profit maximizing prompt ,0.05917159763313609,0.7878787878787878,26.0,1.0,1,15.0,1
strhps7i,2025-01-11,20,80.0, gpt-4o ,2025-01-11 02:00:13.069769 , run-10 , Experiment 3/3 w/ 20 subjects and gpt-4o using standard profit maximizing prompt ,0.05459183673469387,0.7575757575757576,25.0,1.0,2,15.0,2
k5fe3pel,2025-01-11,20,80.0,,,,,,0.0,0.0,0.0,0,14.0,-2
fsx0h5fb,2025-01-11,20,80.0,,,,,,0.0,0.0,0.0,0,14.0,-2
2d2ckysg,2025-01-11,20,80.0,,,,,,0.0,0.0,0.0,0,14.0,-2
newmfpwu,2025-01-11,20,80.0, mistral-large ,2025-01-11 10:48:07.311857 , run-11 , Experiment 1/3 w/ 20 subjects and mistral-large using standard profit maximizing prompt ,0.20768633540372672,2.0606060606060606,102.0,8.0,4,20.0,10
qovurr4n,2025-01-11,20,80.0, mistral-large ,2025-01-11 12:33:15.515083 , run-12 , Experiment 2/3 w/ 20 subjects and mistral-large using standard profit maximizing prompt ,0.04707792207792208,0.3181818181818182,20.5,2.0,1,15.0,0
v75bhhk5,2025-01-11,20,80.0, mistral-large ,2025-01-11 14:18:21.610829 , run-13 , Experiment 3/3 w/ 20 subjects and mistral-large using standard profit maximizing prompt ,0.10874799357945424,0.7121212121212122,46.5,4.0,2,16.0,8
hd5e6kig,2025-01-11,20,80.0, grok-2 ,2025-01-11 16:03:28.077161 , run-14 , Experiment 1/3 w/ 20 subjects and grok-2 using standard profit maximizing prompt ,0.24185463659147868,3.287878787878788,108.5,4.5,2,18.5,22
7q3yvb8o,2025-01-13,20,80.0, grok-2 ,2025-01-13 01:15:02.901945 , run-15 , Experiment 2/3 w/ 20 subjects and grok-2 using standard profit maximizing prompt (credits exhausted at round 32) ,0.05714285714285714,0.7424242424242424,24.5,2.0,1,16.0,23
czji0zow,2025-01-13,20,80.0, grok-2 ,2025-01-13 03:00:10.879452 , run-16 , Experiment 3/3 w/ 20 subjects and grok-2 using standard profit maximizing prompt (credits exhausted) ,,0.0,0.0,0.0,0,14.0,-2
8l7rnwu8,2025-01-13,20,80.0, grok-2 ,2025-01-13 20:30:30.226440 , run-18 , Experiment 3/3 w/ 20 subjects and grok-2 using standard profit maximizing prompt ,0.08154761904761904,1.5757575757575757,52.0,2.0,1,16.0,2
0ry2mwqc,2025-01-13,20,80.0, claude-3.5-sonnet ,2025-01-13 22:41:26.770332 , run-19 , Experiment 1/3 w/ 20 subjects and claude-3.5-sonnet using standard profit maximizing prompt ,0.04554170661553212,0.4696969696969697,22.5,2.0,1,15.0,2
uo4ihlcd,2025-01-16,24,96.0, mixed ,2025-01-16 22:45:17.509291 , run-24 , mixed run 3/3 w/ 24 agents + profit maximizing prompt ,0.13988095238095238,3.212121212121212,106.0,6.0,2,20.0,14
8j82i3pp,2025-01-27,20,80.0, grok-2 ,2025-01-27 14:17:36.707257 , run-30 , grok-2 run 1/3 w/ 20 agents + profit maximizing prompt (rerun take 2) ,0.20300751879699247,2.9242424242424243,96.5,6.0,7,20.0,8
vtt8gv2b,2025-01-27,20,80.0, grok-2 ,2025-01-27 16:47:43.012087 , run-31 , grok-2 run 2/3 w/ 20 agents + profit maximizing prompt (rerun take 2) ,0.29878048780487804,4.984848484848484,164.5,9.0,4,23.0,17
n9vyg9cc,2025-04-15,20,80.0, grok-2 ,2025-04-16 04:31:54.232455 , run-35 , grok-2 rerun for missing forecasts 2/3 ,0.355,4.2272727272727275,139.5,6.0,5,20.0,10
3dql6kwy,2025-04-15,20,80.0, grok-2 ,2025-04-16 07:02:02.148732 , run-36 , grok-2 rerun for missing forecasts 3/3 ,0.2625231910946197,2.6666666666666665,88.0,5.0,3,19.0,25
052thkgk,2025-04-16,20,80.0, grok-2 ,2025-04-16 02:01:46.764149 , run-34 , grok-2 rerun for missing forecasts 1/3 ,0.3704379562043796,4.712121212121212,155.5,8.0,4,22.0,16
rwwwk831,2025-04-16,20,80.0, gpt-3.5 ,2025-04-16 10:50:52.697398 , run-37 , gpt-3.5 rerun for missing forecasts 1/3 ,0.14285714285714285,2.3333333333333335,77.0,1.0,2,16.5,0
